Model: word2vec_30_10_0_30.model, Average Distance: 0.4144, Params: {'embedding_size': 30, 'window_size': 10, 'skip_gram': 0, 'epochs': 30}
Model: word2vec_30_10_0_40.model, Average Distance: 0.4063, Params: {'embedding_size': 30, 'window_size': 10, 'skip_gram': 0, 'epochs': 40}
Model: word2vec_30_10_1_5.model, Average Distance: 0.2799, Params: {'embedding_size': 30, 'window_size': 10, 'skip_gram': 1, 'epochs': 5}
Model: word2vec_30_10_1_10.model, Average Distance: 0.2991, Params: {'embedding_size': 30, 'window_size': 10, 'skip_gram': 1, 'epochs': 10}
Model: word2vec_30_10_1_15.model, Average Distance: 0.3076, Params: {'embedding_size': 30, 'window_size': 10, 'skip_gram': 1, 'epochs': 15}
Model: word2vec_30_10_1_30.model, Average Distance: 0.3191, Params: {'embedding_size': 30, 'window_size': 10, 'skip_gram': 1, 'epochs': 30}
Model: word2vec_30_10_1_40.model, Average Distance: 0.3189, Params: {'embedding_size': 30, 'window_size': 10, 'skip_gram': 1, 'epochs': 40}
Model: word2vec_50_2_0_5.model, Average Distance: 0.4748, Params: {'embedding_size': 50, 'window_size': 2, 'skip_gram': 0, 'epochs': 5}
Model: word2vec_50_2_0_10.model, Average Distance: 0.4714, Params: {'embedding_size': 50, 'window_size': 2, 'skip_gram': 0, 'epochs': 10}
Model: word2vec_50_2_0_15.model, Average Distance: 0.4595, Params: {'embedding_size': 50, 'window_size': 2, 'skip_gram': 0, 'epochs': 15}
Model: word2vec_50_2_0_30.model, Average Distance: 0.4538, Params: {'embedding_size': 50, 'window_size': 2, 'skip_gram': 0, 'epochs': 30}
Model: word2vec_50_2_0_40.model, Average Distance: 0.4535, Params: {'embedding_size': 50, 'window_size': 2, 'skip_gram': 0, 'epochs': 40}
Model: word2vec_50_2_1_5.model, Average Distance: 0.3461, Params: {'embedding_size': 50, 'window_size': 2, 'skip_gram': 1, 'epochs': 5}
Model: word2vec_50_2_1_10.model, Average Distance: 0.3629, Params: {'embedding_size': 50, 'window_size': 2, 'skip_gram': 1, 'epochs': 10}
Model: word2vec_50_2_1_15.model, Average Distance: 0.3777, Params: {'embedding_size': 50, 'window_size': 2, 'skip_gram': 1, 'epochs': 15}
Model: word2vec_50_2_1_30.model, Average Distance: 0.3999, Params: {'embedding_size': 50, 'window_size': 2, 'skip_gram': 1, 'epochs': 30}
Model: word2vec_50_2_1_40.model, Average Distance: 0.4034, Params: {'embedding_size': 50, 'window_size': 2, 'skip_gram': 1, 'epochs': 40}
Model: word2vec_50_3_0_5.model, Average Distance: 0.4784, Params: {'embedding_size': 50, 'window_size': 3, 'skip_gram': 0, 'epochs': 5}
Model: word2vec_50_3_0_10.model, Average Distance: 0.4691, Params: {'embedding_size': 50, 'window_size': 3, 'skip_gram': 0, 'epochs': 10}
Model: word2vec_50_3_0_15.model, Average Distance: 0.4642, Params: {'embedding_size': 50, 'window_size': 3, 'skip_gram': 0, 'epochs': 15}
Model: word2vec_50_3_0_30.model, Average Distance: 0.4506, Params: {'embedding_size': 50, 'window_size': 3, 'skip_gram': 0, 'epochs': 30}
Model: word2vec_50_3_0_40.model, Average Distance: 0.4509, Params: {'embedding_size': 50, 'window_size': 3, 'skip_gram': 0, 'epochs': 40}
